iter	Passed	Remaining
805	5527	1330
806	5533	1323
807	5541	1316
808	5548	1309
809	5554	1302
810	5561	1295
811	5567	1289
812	5574	1282
813	5580	1275
814	5587	1268
815	5593	1261
816	5600	1254
817	5606	1247
818	5613	1240
819	5620	1233
820	5627	1226
821	5634	1220
822	5640	1213
823	5647	1206
824	5653	1199
825	5659	1192
826	5667	1185
827	5673	1178
828	5680	1171
829	5686	1164
830	5693	1157
831	5700	1151
832	5707	1144
833	5714	1137
834	5721	1130
835	5727	1123
836	5733	1116
837	5740	1109
838	5746	1102
839	5754	1096
840	5760	1089
841	5767	1082
842	5773	1075
843	5779	1068
844	5786	1061
845	5792	1054
846	5799	1047
847	5806	1040
848	5812	1033
849	5819	1026
850	5826	1020
851	5832	1013
852	5839	1006
853	5845	999
854	5852	992
855	5859	985
856	5866	978
857	5873	972
858	5881	965
859	5887	958
860	5894	951
861	5900	944
862	5907	937
863	5914	931
864	5921	924
865	5927	917
866	5934	910
867	5941	903
868	5947	896
869	5955	889
870	5961	882
871	5968	876
872	5974	869
873	5981	862
874	5988	855
875	5995	848
876	6001	841
877	6008	834
878	6014	827
879	6021	821
880	6028	814
881	6034	807
882	6041	800
883	6047	793
884	6054	786
885	6060	779
886	6067	772
887	6074	766
888	6081	759
889	6088	752
890	6095	745
891	6102	738
892	6108	731
893	6115	725
894	6121	718
895	6128	711
896	6135	704
897	6141	697
898	6148	690
899	6155	683
900	6161	677
901	6168	670
902	6174	663
903	6180	656
904	6187	649
905	6193	642
906	6200	635
907	6207	628
908	6214	622
909	6220	615
910	6227	608
911	6234	601
912	6241	594
913	6248	587
914	6254	581
915	6261	574
916	6267	567
917	6274	560
918	6281	553
919	6287	546
920	6294	539
921	6301	533
922	6308	526
923	6315	519
924	6321	512
925	6327	505
926	6335	498
927	6341	492
928	6348	485
929	6354	478
930	6361	471
931	6368	464
932	6375	457
933	6381	450
934	6388	444
935	6395	437
936	6402	430
937	6408	423
938	6415	416
939	6422	409
940	6429	403
941	6435	396
942	6441	389
943	6448	382
944	6454	375
945	6461	368
946	6467	361
947	6474	355
948	6482	348
949	6489	341
950	6495	334
951	6502	327
952	6508	320
953	6515	314
954	6521	307
955	6528	300
956	6534	293
957	6541	286
958	6548	279
959	6555	273
960	6562	266
961	6569	259
962	6575	252
963	6582	245
964	6588	238
965	6595	232
966	6602	225
967	6608	218
968	6615	211
969	6622	204
970	6629	197
971	6635	191
972	6642	184
973	6648	177
974	6655	170
975	6661	163
976	6668	156
977	6675	150
978	6682	143
979	6689	136
980	6695	129
981	6702	122
982	6709	116
983	6716	109
984	6723	102
985	6730	95
986	6736	88
987	6743	81
988	6749	75
989	6756	68
990	6763	61
991	6770	54
992	6776	47
993	6783	40
994	6790	34
995	6797	27
996	6803	20
997	6810	13
998	6817	6
999	6824	0
